ID	Родитель	Уровень	Название	Значение	Подпись	Иконка	Обложка	Краткое описание	Полное описание	Расписание	Цена
section		0	На секцию	section	более 40 направлений	icons/section.png					
section_1	section	1	Детские	kids	для детей	icons/kids.png					
section_1_1	section/kids	2	Хоккей	hockey	хоккей: набор детей от 4 лет	https://pride34.ru/wp-content/uploads/2022/12/hokkey-cover-480x320.jpg	covers/hokkey.jpg	Набираем мальчиков и девочек с 4 лет в спортивно‑оздоровительные группы и группы начальной подготовки. Тренировки проходят на крытой ледовой арене «Прайд» по методике «Красная машина» с участием в турнирах и отборе в профессиональные клубы. Стоимость: разовая тренировка — 650 р; 8 тренировок — 3900 р; 12 тренировок — 5800 р; пробное занятие и коньки на первую тренировку бесплатно.			
section_1_2	section/kids	2	Фигурное катание	skating	для детей от 3,5 лет	https://pride34.ru/wp-content/uploads/2022/12/figurnoe-cover-480x320.jpg	covers/figurnoe.jpg	Фигурное катание развивает гибкость, силу, координацию и артистизм. Занятия, помогают освоить элементы скольжения, вращения и прыжков. Стоимость: разовая тренировка — 650 р; 8 тренировок — 3900 р; 12 тренировок — 5800 р; пробное занятие бесплатно. Расписание и тренер уточняйте у администратора.			
section_1_3	section/kids	2	Кроссфит	crossfit_kids	функциональные тренировки для силы, выносливости и координации	https://pride34.ru/wp-content/uploads/2012/07/stepan-strjuchkov.jpg	https://pride34.ru/wp-content/uploads/2012/07/stepan-strjuchkov.jpg	Функциональные тренировки сочетают кардио, гимнастические и силовые упражнения, развивая выносливость, гибкость и координацию. Тренер Степан Стрючков.<br>Расписание: Вт, Чт 17:00–18:00; Вс 14:00–15:00<br>1 занятие — 300 р; 8 занятий — 3200 р; 12 занятий — 3600 р			
section_1_4	section/kids	2	Детская акробатика	acrobatics	развитие гибкости, ловкости и силы	https://pride34.ru/wp-content/uploads/2021/04/akrobat-section-cover.jpg	https://pride34.ru/wp-content/uploads/2021/04/akrobat-section-cover.jpg	Акробатика формирует красивую осанку, плавность движений и помогает развить гибкость, ловкость, смелость и координацию. Тренер Наталья Чижикова.<br>Расписание: Вт 18:30–20:00; Чт 18:30–20:30<br>1 занятие — 400 р; 8 занятий — 2400 р			
section_1_5	section/kids	2	Детская растяжка	stretching_kids	растяжка и развитие гибкости для детей	https://pride34.ru/wp-content/uploads/2021/04/IMG_3997-scaled-e1621464011950.jpg	https://pride34.ru/wp-content/uploads/2021/04/IMG_3997-scaled-e1621464011950.jpg	Занятия по растяжке помогают детям гармонично развиваться, улучшают гибкость, координацию и выносливость, снимают избыток энергии и развивают дисциплину. Тренер Елена Чернова.<br>Расписание: Пн, Ср, Пт 17:00–18:00<br>1 занятие — 350 р; 8 занятий — 2000 р; 12 занятий — 2400 р			
section_1_6	section/kids	2	Художественная гимнастика	rhythmic	грация, гибкость и артистичность	https://pride34.ru/wp-content/uploads/2021/04/sovremennaja-horeografija.jpg	https://pride34.ru/wp-content/uploads/2021/04/sovremennaja-horeografija.jpg	Художественная гимнастика сочетает элементы танца и акробатики, развивает грацию, гибкость, выносливость и артистичность. Занятия формируют уверенность и творческое самовыражение.<br>Расписание и тренер уточняйте у администратора.<br>1 занятие — 350 р; 8 занятий — 2400 р; 12 занятий — 2800 р			
section_1_7	section/kids	2	Детский балет	ballet_kids	первые шаги в мире балета для детей	https://pride34.ru/wp-content/uploads/2021/04/detskij-balet.jpg	https://pride34.ru/wp-content/uploads/2021/04/detskij-balet.jpg	Классический балет развивает осанку, координацию, музыкальность и творческое мышление у детей. Тренер Надежда Яковлева.<br>Расписание: Вт 17:00–18:00; Чт 17:30–18:30<br>1 занятие — 400 р; персональная тренировка — 700 р; 4 занятия — 1400 р; 8 занятий — 2400 р; 12 занятий — 2800 р			
section_1_8	section/kids	2	Современная хореография	modern_choreo_kids	танцы модерн для развития пластики и эмоций	https://pride34.ru/wp-content/uploads/2021/04/contemporary-choreography.jpg	https://pride34.ru/wp-content/uploads/2021/04/contemporary-choreography.jpg	Занятия по современной хореографии помогают детям выразить эмоции, развивают пластику, координацию и творческое мышление. Тренер Надежда Яковлева.<br>Расписание: Вт, Чт 16:00–17:30; Сб 17:00–18:30 и 18:30–20:00<br>1 занятие — 400 р; персональная тренировка — 700 р; 4 занятия — 1400 р; 8 занятий — 2400 р; 12 занятий — 2800 р			
section_1_9	section/kids	2	Современный и эстрадный танец	modern_estrada_kids	эстрадный и современный танец для детей	https://pride34.ru/wp-content/uploads/2021/04/popdance-section-cover.jpg	https://pride34.ru/wp-content/uploads/2021/04/popdance-section-cover.jpg	Комбинация эстрадных и современных танцевальных стилей (RNB, хип‑хоп, джаз‑фанк) учит детей чувствовать ритм, развивает гибкость и уверенность. Тренер Алексей Шестаков.<br>Расписание: Пн, Ср, Пт 18:00–19:00<br>1 занятие — 300 р; 8 занятий — 1600 р; 12 занятий — 1800 р			
section_1_10	section/kids	2	Бальные танцы и акробатический рок-н-ролл	ballroom_rock_kids	три направления: бальные танцы, рок-н-ролл и буги-вуги	icons/empty.png	icons/empty.png	Программа объединяет бальные танцы (европейская и латиноамериканская программы), акробатический рок‑н‑ролл и буги‑вуги. Занятия развивают выносливость, гибкость и уверенность на паркете. Тренер Нина Вьюник.<br>Расписание: Вт, Чт 18:30–19:30 (дети); Вт, Чт 19:30–20:30 (взрослые)<br>Стоимость: разовое занятие 4500 р; детский абонемент — 2600 р; взрослый абонемент (8 тренировок) — 2000 р			
section_1_11	section/kids	2	Футбол	football_kids	командная игра для здоровья и дружбы	https://pride34.ru/wp-content/uploads/2024/04/arsenev-480x320.jpg	https://pride34.ru/wp-content/uploads/2024/04/arsenev-480x320.jpg	Футбол для детей укрепляет здоровье, развивает выносливость, координацию и командный дух. Программы: «Первые шаги» (4–6 лет) и «Юные игроки» (7–10 лет). Тренер Никита Арсеньев.<br>Расписание: Пн–Чт 17:00–18:00 (старшая группа); 18:00–19:00 (младшая группа)<br>Пробное занятие бесплатно; разовое — 500 р; 8 занятий — 2700 р			
section_1_12	section/kids	2	Настольный теннис	table_tennis_kids	настольный теннис для развития реакции и внимания	https://pride34.ru/wp-content/uploads/2021/04/nastolnyj-tennis-150x100.jpg	https://pride34.ru/wp-content/uploads/2021/04/nastolnyj-tennis-150x100.jpg	Настольный теннис развивает ловкость, точность движений, скорость реакции и помогает сохранить зрение. Тренер Сергей Харчуков.<br>Расписание: Вт, Чт 17:30–21:00; Сб 15:30–18:00 (для начинающих)<br>1 занятие — 400 р; 4 занятия — 1200 р; 8 занятий — 2400 р; 12 занятий — 3000 р			
section_2	section	1	Единоборства	fight	боевые направления	icons/fight.png					
section_2_1	section/fight	2	Тренеры	trainers	наши тренеры по единоборствам	icons/trainer.png					
section_2_1_1	section/fight/trainers	3	Сергей Моисеев	sergey-ivanovich-moiseev	Тренер по греко-римской борьбе	https://pride34.ru/wp-content/uploads/2021/04/ava-moiseev-480x320.jpg	https://pride34.ru/wp-content/uploads/2021/04/sergej-ivanovich-moiseev.jpg	✔ Более 45 лет занимается борьбой⠀✔ КМС по дзюдо⠀✔ Призер зоны ЦС по самбо⠀✔ Профильное образование тренера⠀✔ Умеет найти нужный подход к детям⠀✔ Виртуозно владеет гирей	<div class='trainer-info'><div class='trainer-grid'><div class='col-left'><img src='https://pride34.ru/wp-content/uploads/2021/04/sergej-ivanovich-moiseev.jpg' alt='Сергей Моисеев'><div class='price'><h3>Стоимость занятий</h3><ul><li>Разовое — 400₽</li><li>8 занятий — 2000₽</li><li>12 занятий — 2500₽</li></ul></div></div><div class='col-right'><h1>Сергей Моисеев</h1><h2>Тренер по греко-римской борьбе</h2><h3>Описание направления</h3><p>Греко-римская борьба для детей от 5 лет сочетает в себе общую физическую подготовку, элементы единоборств, силовую работу и борцовскую акробатику. Основное отличие от вольной борьбы — запрет на атаки ногами.</p><h3>О тренере</h3><ul><li>Более 45 лет занимается борьбой</li><li>КМС по дзюдо, призёр зоны ЦС по самбо</li><li>Профильное образование тренера</li><li>Виртуозно владеет гирей и умеет найти подход к каждому ребёнку</li></ul><h3>Расписание</h3><p>Пн 16:00–17:00 / Вт, Чт, Сб 16:00–17:30</p></div></div></div>	Пн 16:00–17:00 / Вт, Чт, Сб 16:00–17:30	Разовое — 400₽ / 8 занятий — 2000₽ / 12 занятий — 2500₽
section_2_1_2	section/fight/trainers	3	Джалсанов Арлтан	dzhalsanov-artlan	Детский тренер единоборств	https://pride34.ru/wp-content/uploads/2021/04/dzhalsanov-artlan-new-480x320.jpg	https://pride34.ru/wp-content/uploads/2021/04/dzhalsanov-artlan-new-full.jpg	Детский тренер единоборств Джалсанов Арлтан — Тренер по бразильскому джиу-джитсу чемпион Центрального федерального округа по BJJ серебряный призёр Чемпионата России бронзовый призер Чемпионата мира бронзовый призёр Чемпионата Южного федерального округа Тренирует детей и подростков. Подготовил несколько призеров соревнований по бразильскому джиу...	<div class='trainer-info'><div class='trainer-grid'><div class='col-left'><img src='https://pride34.ru/wp-content/uploads/2021/04/dzhalsanov-artlan-new-full.jpg' alt='Джалсанов Арлтан'><div class='price'><h3>Стоимость занятий</h3><ul><li>Разовое — 400₽</li><li>8 занятий — 2000₽</li><li>12 занятий — 2500₽</li></ul></div></div><div class='col-right'><h1>Джалсанов Арлтан</h1><h2>Детский тренер единоборств</h2><h3>Достижения</h3><ul><li>Чемпион Центрального федерального округа по BJJ</li><li>Серебряный призёр Чемпионата России</li><li>Бронзовый призёр Чемпионата Мира и Южного федерального округа</li></ul><h3>О тренере</h3><p>Тренирует детей и подростков, подготовил множество призёров соревнований по бразильскому джиу-джитсу.</p><h3>Расписание</h3><p>Вт, Чт, Сб 16:00–17:30</p></div></div></div>	Вт, Чт, Сб 16:00–17:30	Разовое — 400₽ / 8 занятий — 2000₽ / 12 занятий — 2500₽
