ID	Родитель	Уровень	Название	Значение	Подпись	Иконка	Обложка	Краткое описание	Полное описание	Расписание	Цена
gym		0	В тренажерный зал	gym	абонемент от 2600р.	icons/gym.png					
gym_1	gym	1	Пробная тренировка	trial	самостоятельно	icons/trial.png	covers/gym.jpg	🏋️ Самостоятельные тренировки в тренажёрном зале<br>Тренажёрный зал СК «ПРАЙД» — это современное оборудование, комфортные залы и атмосфера, где хочется тренироваться.<br><br>Вы можете заниматься самостоятельно в удобное время — без ограничений и лишней суеты.<br><br><b>💳 Разовое посещение — 400 ₽</b>	<br><br><b>🎟 Абонементы на месяц:</b><br>8 занятий — 2600 ₽<br>12 занятий — 3200 ₽<br>Безлимитный (расширенный) — 4200 ₽<br>🎯 Дневной абонемент (13:00–17:00) — 2700 ₽<br>📅 Выходного дня (сб–вс) — 1800 ₽<br><br><b>🔥 Акция “Осенний марафон”<br>Годовой абонемент — 9000 ₽</b><br><br><i>💪 При желании можно добавить сопровождение тренера: +300 ₽ за занятие или +1600 ₽ к абонементу.</i>		
gym_2	gym	1	Запись к тренеру	trainer	выберите тренера	icons/trainer.png					
gym_2_1	gym/trainer	2	Иванов Сергей	ivanov	Фитнес-тренер	https://pride34.ru/wp-content/uploads/2022/02/ivanov-sergej.jpg	https://pride34.ru/wp-content/uploads/2022/02/ivanov-sergej.jpg	Встречайте Сергея Иванова, чемпиона и призёра в пауэрлифтинге, который предлагает не только физическую тренировку, но и эмоциональную разгрузку. С высокой профессиональностью и энергетикой, Сергей поможет вам достичь ваших спортивных целей через функциональный тренинг, высокоинтенсивные тренировки и работу в тренажере TRX. Присоединяйтесь к его тренировкам для видимых результатов и позитивного настроя.			
gym_2_2	gym/trainer	2	Андрей Богачев	bogachev	Тренер по функциональному тренингу и ниндзя-тренингу	https://pride34.ru/wp-content/uploads/2024/04/andrey-bogachev-320x320.jpg	https://pride34.ru/wp-content/uploads/2024/04/andrey-bogachev.jpg	Функциональный тренер с более чем 10‑летним опытом. Участник проекта «Русский ниндзя» и подготовки к «SuperNinja». В своих тренировках сочетает CrossFit, Табату, HIIT и ниндзя‑тренинг, развивая силу, скорость, выносливость и координацию. Придерживается индивидуального подхода, воспитывает дисциплину и вдохновляет на новые достижения.			
gym_2_3	gym/trainer	2	Наталья Татаренко	tatarenko	Персональный тренер по фитнесу и растяжке	https://pride34.ru/wp-content/uploads/2021/04/natalia-tatarenko-320x320.jpg	https://pride34.ru/wp-content/uploads/2021/04/natalia-tatarenko.jpg	Персональный тренер с опытом более 7 лет. Окончила Волгоградскую академию физической культуры и колледж Бена Вейдера, регулярно посещает фитнес‑конвенции и семинары. Ведёт программы «Ideal Body» и силовая растяжка, подбирает индивидуальные планы, мотивирует и создаёт дружественную атмосферу на тренировках.			
gym_2_4	gym/trainer	2	Елена Брюнина	brunina	Фитнес-тренер	https://pride34.ru/wp-content/uploads/2012/07/yelena-bryunina.jpg	https://pride34.ru/wp-content/uploads/2012/07/yelena-bryunina.jpg	"Фитнес-тренер тренажерного зала и программ ""90/60/90"", ""Силовая растяжка"", ""Port-de-Bras+МФР""."			
gym_2_5	gym/trainer	2	Марина Ягунова	yagunova	Сертифицированный фитнес‑инструктор	https://pride34.ru/wp-content/uploads/2012/07/yagunova-cover.jpg	https://pride34.ru/wp-content/uploads/2012/07/yagunova-cover.jpg	Сертифицированный фитнес‑инструктор с опытом более 6 лет. Проводит групповые и индивидуальные тренировки, сочетает кардио и силовые нагрузки, даёт рекомендации по питанию. Участница конвенции Fitness Innovations 2016, регулярно повышает квалификацию. Отличается индивидуальным подходом, профессионализмом и умением мотивировать.			
gym_2_6	gym/trainer	2	Елена Чернова	chernova	Универсальный тренер: пилатес, йога, аквааэробика	https://pride34.ru/wp-content/uploads/2021/04/ava-elena-chernova.jpg	https://pride34.ru/wp-content/uploads/2021/04/ava-elena-chernova.jpg	Универсальный тренер с опытом более 30 лет. Ведёт направления пилатес, женская йога, суставная гимнастика, аквааэробика и детская растяжка. Использует индивидуальный подход, помогает достигать гармонии, укреплять здоровье и улучшать физическую форму.			
gym_2_7	gym/trainer	2	Антон Мурашкин	murashkin	Фитнес-тренер	https://pride34.ru/wp-content/uploads/2021/04/anton-murashkin-1.jpg	https://pride34.ru/wp-content/uploads/2021/04/anton-murashkin-1.jpg	"Тренер-инструктор тренажерного зала. Действующий спортсмен, неоднократный участник соревнований по бодибилдингу. 4-е место на Кубке Москвы по бодибилдингу в категории ""классик физик"". Может подготовить по разным категориям в своем направлении."			
gym_2_8	gym/trainer	2	Алексей Савкин	savkin	Фитнес-тренер	https://pride34.ru/wp-content/uploads/2021/04/alexey-savkin-new.jpg	https://pride34.ru/wp-content/uploads/2021/04/alexey-savkin-new.jpg	Персональный тренер тренажерного зала. КМС по жиму лежа. Победитель Всероссийских и областных турниров по пауэрлифтингу.			
gym_2_9	gym/trainer	2	Денис Полянский	polyansky	Фитнес-тренер	https://pride34.ru/wp-content/uploads/2021/04/ava-poljanskij.jpg	https://pride34.ru/wp-content/uploads/2021/04/ava-poljanskij.jpg	Персональный тренер тренажерного зала. Мастер спорта по жиму в экипировке Федерации пауэрлифтинга WPC. Кандидат в мастера спорта по пауэрлифтингу ФПР. Воспитанники - неоднократные чемпионы, получившие звания в различных Федерациях.			
