ID	Родитель	Уровень	Название	Значение	Подпись	Иконка	Обложка	Краткое описание	Полное описание	Расписание	Цена
fight		0	Единоборства	fight	боевые направления	icons/fight.png					
fight_1	fight	1	Тренеры	trainers	наши тренеры по единоборствам	icons/trainer.png					
fight_1_1	fight/trainers	2	Сергей Моисеев	sergey-ivanovich-moiseev	Тренер по греко-римской борьбе	https://pride34.ru/wp-content/uploads/2021/04/ava-moiseev-480x320.jpg	https://pride34.ru/wp-content/uploads/2021/04/sergej-ivanovich-moiseev.jpg	✔ Более 45 лет занимается борьбой⠀✔ КМС по дзюдо⠀✔ Призер зоны ЦС по самбо⠀✔ Профильное образование тренера⠀✔ Умеет найти нужный подход к детям⠀✔ Виртуозно владеет гирей	<div class='trainer-info'><div class='trainer-grid'><div class='col-left'><img src='https://pride34.ru/wp-content/uploads/2021/04/sergej-ivanovich-moiseev.jpg' alt='Сергей Моисеев'><div class='price'><h3>Стоимость занятий</h3><ul><li>Разовое — 400₽</li><li>8 занятий — 2000₽</li><li>12 занятий — 2500₽</li></ul></div></div><div class='col-right'><h1>Сергей Моисеев</h1><h2>Тренер по греко-римской борьбе</h2><h3>Описание направления</h3><p>Греко-римская борьба для детей от 5 лет сочетает в себе общую физическую подготовку, элементы единоборств, силовую работу и борцовскую акробатику. Основное отличие от вольной борьбы — запрет на атаки ногами.</p><h3>О тренере</h3><ul><li>Более 45 лет занимается борьбой</li><li>КМС по дзюдо, призёр зоны ЦС по самбо</li><li>Профильное образование тренера</li><li>Виртуозно владеет гирей и умеет найти подход к каждому ребёнку</li></ul><h3>Расписание</h3><p>Пн 16:00–17:00 / Вт, Чт, Сб 16:00–17:30</p></div></div></div>	Пн 16:00–17:00 / Вт, Чт, Сб 16:00–17:30	Разовое — 400₽ / 8 занятий — 2000₽ / 12 занятий — 2500₽
fight_1_2	fight/trainers	2	Джалсанов Арлтан	dzhalsanov-artlan	Детский тренер единоборств	https://pride34.ru/wp-content/uploads/2021/04/dzhalsanov-artlan-new-480x320.jpg	https://pride34.ru/wp-content/uploads/2021/04/dzhalsanov-artlan-new-full.jpg	Детский тренер единоборств Джалсанов Арлтан — Тренер по бразильскому джиу-джитсу чемпион Центрального федерального округа по BJJ серебряный призёр Чемпионата России бронзовый призер Чемпионата мира бронзовый призёр Чемпионата Южного федерального округа Тренирует детей и подростков. Подготовил несколько призеров соревнований по бразильскому джиу...	<div class='trainer-info'><div class='trainer-grid'><div class='col-left'><img src='https://pride34.ru/wp-content/uploads/2021/04/dzhalsanov-artlan-new-full.jpg' alt='Джалсанов Арлтан'><div class='price'><h3>Стоимость занятий</h3><ul><li>Разовое — 400₽</li><li>8 занятий — 2000₽</li><li>12 занятий — 2500₽</li></ul></div></div><div class='col-right'><h1>Джалсанов Арлтан</h1><h2>Детский тренер единоборств</h2><h3>Достижения</h3><ul><li>Чемпион Центрального федерального округа по BJJ</li><li>Серебряный призёр Чемпионата России</li><li>Бронзовый призёр Чемпионата Мира и Южного федерального округа</li></ul><h3>О тренере</h3><p>Тренирует детей и подростков, подготовил множество призёров соревнований по бразильскому джиу-джитсу.</p><h3>Расписание</h3><p>Вт, Чт, Сб 16:00–17:30</p></div></div></div>	Вт, Чт, Сб 16:00–17:30	Разовое — 400₽ / 8 занятий — 2000₽ / 12 занятий — 2500₽
fight_1_3	fight/trainers	2	Евгений Кузнецов	evgeny-kuznetsov	Тренер из МВД	https://pride34.ru/wp-content/uploads/2021/09/kuznecov-evgenij-480x320.jpg	https://pride34.ru/wp-content/uploads/2021/04/evgenij-kuznecov.jpg	"Такое редко, где встретишь - не просто тренер, а бывший служащий МВД. Которой, к тому же, был инструктором в Спортивном Обществе ""Динамо"" при МВД, ФСБ и всех силовых структур нашего региона."	<div class='trainer-info'><div class='trainer-grid'><div class='col-left'><img src='https://pride34.ru/wp-content/uploads/2021/04/evgenij-kuznecov.jpg' alt='Евгений Кузнецов'><div class='price'><h3>Стоимость занятий</h3><ul><li>Разовое — 400₽</li><li>8 занятий — 2000₽</li><li>12 занятий — 2500₽</li></ul></div></div><div class='col-right'><h1>Евгений Кузнецов</h1><h2>Тренер из МВД</h2><h3>О тренере</h3><p>Бывший служащий МВД, инструктор в Спортивном обществе «Динамо» при МВД, ФСБ и других силовых структурах региона. Имеет опыт подготовки сотрудников к сдаче нормативов и ведению боевой подготовки.</p><h3>Мотивация</h3><p>Тренер, который поставит технику и научит уверенности. Евгений помогает каждому ученику стать сильнее не только физически, но и внутренне.</p><h3>Расписание</h3><p>Вт, Чт, Сб 16:00–17:31</p></div></div></div>	Вт, Чт, Сб 16:00–17:31	Разовое — 400₽ / 8 занятий — 2000₽ / 12 занятий — 2500₽
fight_1_4	fight/trainers	2	Евгений Лушин	evgeny-aleksandrovich-lushin	Тренер хапкидо	https://pride34.ru/wp-content/uploads/2021/04/ava-lushin-480x320.jpg	https://pride34.ru/wp-content/uploads/2021/04/evgenij-aleksandrovich-lushin.jpg	Тренер хапкидо Евгений Лушин — Как морально и психологически подготовиться к бою? Это безусловно важный момент. Практически, наровно с умением вести сам бой. Ведь блоки и страхи в нашей голове могут помешать выстроить грамотную стратегию ведения боя и множество других проблем.	<div class='trainer-info'><div class='trainer-grid'><div class='col-left'><img src='https://pride34.ru/wp-content/uploads/2021/04/evgenij-aleksandrovich-lushin.jpg' alt='Евгений Лушин'><div class='price'><h3>Стоимость занятий</h3><ul><li>Разовое — 400₽</li><li>8 занятий — 2000₽</li><li>12 занятий — 2500₽</li></ul></div></div><div class='col-right'><h1>Евгений Лушин</h1><h2>Тренер хапкидо</h2><h3>О тренере</h3><p>Мастер боевых искусств, педагог дополнительного образования и психологии детей и взрослых.</p><h3>Достижения</h3><ul><li>Призёры и чемпионы России, Европы, Кореи и Мира среди учеников</li><li>Официальный представитель Кенг Му Хапкидо в России</li><li>Президент Волгоградской региональной ассоциации Хапкидо</li><li>4 дан Кенг Му Хапкидо, 1 дан традиционного Хапкидо</li><li>3 дан Чой Кванг До, 2 дан тхэквондо WTF</li><li>3 разряд по рукопашному бою</li></ul><h3>Расписание</h3><p>Вт, Чт, Сб 16:00–17:32</p></div></div></div>	Вт, Чт, Сб 16:00–17:32	Разовое — 400₽ / 8 занятий — 2000₽ / 12 занятий — 2500₽
fight_1_5	fight/trainers	2	Сергей Расщепкин	sergey-rasshchepkin	Тренер по рукопашному бою	https://pride34.ru/wp-content/uploads/2021/04/ava-rasshhepkin-480x320.jpg	https://pride34.ru/wp-content/uploads/2021/04/sergej-vladimirovich-rasshhepkin.jpg	Любой родитель согласиться, что для ребенка в спорте важны победы, признание и развитие характера победителя. У нас есть тренер, который все это обеспечит - Расщепкин Сергей, тренер по рукопашному бою.	<div class='trainer-info'><div class='trainer-grid'><div class='col-left'><img src='https://pride34.ru/wp-content/uploads/2021/04/sergej-vladimirovich-rasshhepkin.jpg' alt='Сергей Расщепкин'><div class='price'><h3>Стоимость занятий</h3><ul><li>Разовое — 400₽</li><li>8 занятий — 2000₽</li><li>12 занятий — 2500₽</li></ul></div></div><div class='col-right'><h1>Сергей Расщепкин</h1><h2>Тренер по рукопашному бою</h2><h3>О тренере</h3><p>Мастер спорта по рукопашному бою, черный пояс (1 дан) по тхэквондо. Окончил Волгоградскую академию физической культуры и спорта. Тренерскую работу ведёт с 1995 года, продолжая участвовать в соревнованиях и повышать квалификацию.</p><h3>Преимущества занятий</h3><ul><li>Формирование характера победителя</li><li>Развитие силы и уверенности</li><li>Индивидуальный подход к каждому ученику</li></ul><h3>Расписание</h3><p>Вт, Чт, Сб 16:00–17:33</p></div></div></div>	Вт, Чт, Сб 16:00–17:33	Разовое — 400₽ / 8 занятий — 2000₽ / 12 занятий — 2500₽
fight_1_6	fight/trainers	2	Николай Федосов	nikolay-fedosov	Тренер по бразильскому джиу-джитсу	https://pride34.ru/wp-content/uploads/2021/04/nikolay-fedosov-new-480x320.jpg	https://pride34.ru/wp-content/uploads/2021/04/nikolay-fedosov-new-full.jpg	Тренер по бразильскому джиу-джитсу Николай Федосов — Отзывчивость и терпение - его второе имя. КМС по гиревому спорту, синий пояс по Бразильскому джиу-джитсу. Призер всероссийского турнира по грэпплингу.	<div class='trainer-info'><div class='trainer-grid'><div class='col-left'><img src='https://pride34.ru/wp-content/uploads/2021/04/nikolay-fedosov-new-full.jpg' alt='Николай Федосов'><div class='price'><h3>Стоимость занятий</h3><ul><li>Разовое — 400₽</li><li>8 занятий — 2000₽</li><li>12 занятий — 2500₽</li></ul></div></div><div class='col-right'><h1>Николай Федосов</h1><h2>Тренер по бразильскому джиу-джитсу</h2><h3>О тренере</h3><p>КМС по гиревому спорту, синий пояс по бразильскому джиу-джитсу, призёр всероссийского турнира по грэпплингу, участник чемпионата мира. Тренер известен отзывчивостью и терпением, умеет работать с детьми.</p><h3>Достижения</h3><ul><li>Призёр всероссийских и международных турниров</li><li>КМС по гиревому спорту</li><li>Синий пояс BJJ</li></ul><h3>Расписание</h3><p>Пн, Ср, Пт 16:00–17:30</p></div></div></div>	Пн, Ср, Пт 16:00–17:30	Разовое — 400₽ / 8 занятий — 2000₽ / 12 занятий — 2500₽
fight_1_7	fight/trainers	2	Валерий Проскуряков	valery-proskuryakov	Тренер по самбо и дзюдо	https://pride34.ru/wp-content/uploads/2021/04/ava-proskurjakov-480x320.jpg	https://pride34.ru/wp-content/uploads/2021/04/valerij-mihajlovich-proskurjakov.jpg	MADE IN USSR. Знакомьтесь - Валерий Михайлович Проскуряков. Он тренер по самбо и дзюдо. Иногда слова излишни! Вы, наверняка, представляете себе какой у него опыт, профессионализм и добросовестное отношение к делу!	<div class='trainer-info'><div class='trainer-grid'><div class='col-left'><img src='https://pride34.ru/wp-content/uploads/2021/04/valerij-mihajlovich-proskurjakov.jpg' alt='Валерий Проскуряков'><div class='price'><h3>Стоимость занятий</h3><ul><li>Разовое — 400₽</li><li>8 занятий — 2000₽</li><li>12 занятий — 2500₽</li></ul></div></div><div class='col-right'><h1>Валерий Проскуряков</h1><h2>Тренер по самбо и дзюдо</h2><h3>О тренере</h3><p>Мастер спорта СССР, серебряный призёр РСФСР. Более 15 лет в СК «Прайд». Отличается профессионализмом и вниманием к каждому ученику.</p><h3>Особенности тренировок</h3><ul><li>Развитие силы и техники борьбы</li><li>Формирование характера и самодисциплины</li><li>Передача традиций советской школы самбо и дзюдо</li></ul><h3>Расписание</h3><p>Пн, Ср, Пт 14:30–16:00</p></div></div></div>	Пн, Ср, Пт 14:30–16:00	Разовое — 400₽ / 8 занятий — 2000₽ / 12 занятий — 2500₽
fight_1_8	fight/trainers	2	Рамиль Исмаилов	ramil-ismailov	Тренер по ММА и кикбоксингу	https://pride34.ru/wp-content/uploads/2019/10/ramil-ismailov-480x320.jpg	https://pride34.ru/wp-content/uploads/2021/04/ramil-ismailov.jpg	В левом углу ринга тот, кто сделает из вас победителя. Тренер по направлениям ММА, бразильское джиу-джитсу, кикбоксинг - Исмаилов Рамиль! Тренерский стаж более 20 лет (с 2002 года - непрерывный).	<div class='trainer-info'><div class='trainer-grid'><div class='col-left'><img src='https://pride34.ru/wp-content/uploads/2021/04/ramil-ismailov.jpg' alt='Рамиль Исмаилов'><div class='price'><h3>Стоимость занятий</h3><ul><li>Разовое — 400₽</li><li>8 занятий — 2000₽</li><li>12 занятий — 2500₽</li></ul></div></div><div class='col-right'><h1>Рамиль Исмаилов</h1><h2>Тренер по ММА и кикбоксингу</h2><h3>О тренере</h3><p>Более 20 лет тренерского опыта (с 2002 года). Чемпион России и Мира по бразильскому джиу-джитсу, обладатель кубка мира по кикбоксингу 2013 года. Подготавливает спортсменов к соревнованиям высшего уровня и воспитывает победителей.</p><h3>Достижения</h3><ul><li>Чемпион России по BJJ 2019</li><li>Чемпион Мира по BJJ 2019</li><li>Обладатель Кубка Мира по кикбоксингу 2013</li></ul><h3>Расписание</h3><p>Вт, Чт, Сб 20:00–21:30</p></div></div></div>	Вт, Чт, Сб 20:00–21:30	Разовое — 400₽ / 8 занятий — 2000₽ / 12 занятий — 2500₽
