ID	Родитель	Уровень	Название	Значение	Подпись	Иконка	Обложка	Краткое описание	Полное описание	Расписание	Цена
women		0	Женские	women	для женщин	icons/girls.png					
women_1	women	1	Фитнес для беременных	fitness_pregnant	для будущих мам	https://pride34.ru/wp-content/uploads/2022/04/fitnes-dlja-beremennyh-3-480x320.jpg	https://pride34.ru/wp-content/uploads/2022/04/fitnes-dlja-beremennyh-3-480x320.jpg	Групповые тренировки для будущих мам			
women_2	women	1	Ideal Body	ideal_body	Создание гармоничного, стройного и здорового тела.	https://pride34.ru/wp-content/uploads/2012/07/ideal-body.jpg	https://pride34.ru/wp-content/uploads/2012/07/ideal-body.jpg	Укрепите мышцы, избавьтесь от проблемных зон и улучшите осанку с нашей уникальной программой!<br>Тренер Наталья Татаренко<br>Пн, Ср, Пт 11:00-12:00; Вт, Чт 20:00-21:00; Сб 12:00-13:00<br>1 занятие — 400р; 8 занятий — 2400р; 12 занятий — 2800р			
women_3	women	1	90/60/90	90_60_90	Коррекция фигуры	https://pride34.ru/wp-content/uploads/2012/07/906090-section-cover-480x320.jpg	https://pride34.ru/wp-content/uploads/2012/07/906090-section-cover-480x320.jpg	Комплекс упражнений для коррекции фигуры и уменьшения объёмов.<br>Тренер Елена Брюнина<br>Пн 19:00-20:00; Вт 18:30-19:30; Ср 19:00-20:00; Чт 18:30-19:30<br>1 занятие — 400р; 4 занятия — 1400р; 8 занятий — 2500р; 12 занятий — 3000р			
women_4	women	1	Roll Relax	roll_relax	Самомассаж и растяжка	https://pride34.ru/wp-content/uploads/2012/07/roll-relax-1-480x320.jpg	https://pride34.ru/wp-content/uploads/2012/07/roll-relax-1-480x320.jpg	Интенсивный самомассаж и растяжка с роликами для снятия мышечного напряжения и улучшения гибкости.<br>Тренер Светлана Горшенева<br>Пн (пробное) 10:00-11:00; Ср 10:30-11:30; Сб 11:00-12:00<br>1 занятие — 400р; 8 занятий — 2500р; 12 занятий — 3000р			
women_5	women	1	Пилатес	pilates	Укрепление корпуса, улучшение осанки и гибкости	https://pride34.ru/wp-content/uploads/2021/04/pilates.jpg	https://pride34.ru/wp-content/uploads/2021/04/pilates.jpg	Система упражнений для укрепления мышц, улучшения осанки и гибкости.<br>Тренер Светлана Горшенева<br>Пн 10:30-11:30; Вт 19:00-20:00; Чт 19:00-20:00; Пт 10:30-11:30<br>1 занятие — 400р; 8 занятий — 2500р; 12 занятий — 3000р			
women_6	women	1	Fit Mix	fit_mix	Комбинация силовых, кардио и растяжки	https://pride34.ru/wp-content/uploads/2012/07/fit-mix-150x100.jpg	https://pride34.ru/wp-content/uploads/2012/07/fit-mix-150x100.jpg	Функциональная тренировка, сочетающая кардио, силовые упражнения и растяжку для комплексного развития.<br>Тренер Светлана Горшенева<br>Пн (пробное) 10:00-11:00; Вт 18:00-19:00; Чт 18:00-19:00; Сб 10:00-11:00<br>1 занятие — 400р; 8 занятий — 2500р; 12 занятий — 3000р			
women_7	women	1	Силовой фитнес	silovoy_fitness	Развитие силы и выносливости	https://pride34.ru/wp-content/uploads/2019/12/silovoy-fitnes-cover-150x100.jpg	https://pride34.ru/wp-content/uploads/2019/12/silovoy-fitnes-cover-150x100.jpg	Интенсивная силовая тренировка для развития силы, выносливости и сжигания калорий.<br>Тренер Марина Ягунова<br>Пн 9:00-10:00, 17:00-18:00, 19:00-20:00; Ср 9:00-10:00, 19:00-20:00; Чт 9:00-10:00; Пт 9:00-10:00, 19:00-20:00; Сб 9:00-10:00<br>1 занятие — 400р; 8 занятий — 2400р; 12 занятий — 2800р			
women_8	women	1	Смешанные тренировки 7 в 1	mixed_7_in_1	7 видов тренировок	https://pride34.ru/wp-content/uploads/2023/03/smeshannye-cover-480x320.jpg	https://pride34.ru/wp-content/uploads/2023/03/smeshannye-cover-480x320.jpg	7 видов тренировок в одной программе			
women_9	women	1	Растяжка + МФР	stretch_mfr	растяжка и миофасциальный релиз	https://pride34.ru/wp-content/uploads/2021/04/stretch-mfr-cover-150x100.jpg	https://pride34.ru/wp-content/uploads/2021/04/stretch-mfr-cover-150x100.jpg	Занятия на растяжку и миофасциальный релиз для улучшения гибкости и снятия зажимов.<br>Тренеры Наталья Татаренко и Елена Брюнина<br>Пн 12:00-13:00, 18:00-19:00; Вт 18:30-19:30; Ср 12:00-13:00, 18:00-19:00; Чт 18:30-19:30; Пт 12:00-13:00; Сб 10:30-11:30, 13:00-14:00<br>1 занятие — 400р; 8 занятий — 2400р; 12 занятий — 2800р			
